RowId,Location
1,65.80702
2,37.4404
3,30.032482
4,35.901054
5,59.7437
6,38.067257
7,72.80606
8,38.21039
9,36.71501
10,37.19677
11,23.060932
12,36.804153
13,57.349026
14,26.687199
15,80.80849
16,29.081387
17,37.913414
18,25.453352
19,15.579628
20,25.721766
21,49.198112
22,52.807667
23,64.67014
24,75.35611
25,31.871723
26,75.816315
27,48.39022
28,68.337715
29,47.752453
30,84.33899
31,67.0529
32,36.493164
33,28.154661
34,37.040565
35,60.940887
36,37.69864
37,74.565155
38,37.067093
39,34.664886
40,38.10681
41,21.33643
42,38.47651
43,55.806778
44,31.76316
45,80.43913
46,29.420738
47,37.06611
48,31.568092
49,14.332096
50,31.126194
51,49.218407
52,58.396404
53,65.155464
54,75.64917
55,33.73286
56,76.41006
57,49.26567
58,72.284004
59,49.067547
60,87.06487
61,65.88838
62,36.89302
63,31.274525
64,37.738503
65,59.923397
66,37.983307
67,72.22294
68,37.5853
69,38.054356
70,38.69284
71,24.490837
72,38.90484
73,58.51326
74,30.604979
75,75.80373
76,29.282406
77,39.425526
78,30.668362
79,19.656055
80,33.398293
81,49.157467
82,56.697273
83,63.689075
84,75.15357
85,36.323265
86,75.51712
87,50.090836
88,71.27229
89,49.91558
90,84.21623
91,65.7966
92,38.893112
93,31.4409
94,40.18029
95,59.25222
96,40.654068
97,73.48836
98,40.638397
99,37.638138
100,41.59687
101,24.40247
102,42.425713
103,55.954384
104,31.423323
105,76.54511
106,31.246044
107,37.57344
108,31.64186
109,18.657715
110,34.570854
111,47.910454
112,52.888283
113,64.88012
114,78.44397
115,33.729713
116,79.04846
117,48.435047
118,71.16397
119,48.290394
120,82.415344
121,66.597725
122,36.907555
123,28.736202
124,38.28176
125,60.44872
126,37.447983
127,73.792656
128,37.64666
129,35.68585
130,38.35861
131,21.97665
132,39.99921
133,57.624233
134,26.760176
135,80.21875
136,28.185347
137,37.833363
138,28.001316
139,14.431145
140,32.081642
141,48.692158
142,54.808067
143,65.0398
144,77.199715
145,35.40173
146,77.7785
147,49.346027
148,70.43114
149,49.458214
150,86.6343
151,66.74763
152,37.26052
153,29.25196
154,37.379692
155,59.544804
156,37.2769
157,75.29675
158,38.581127
159,37.448273
160,37.71903
161,21.575924
162,39.135365
163,55.980793
164,30.516258
165,80.23007
166,30.622349
167,40.823067
168,30.311691
169,15.588264
170,30.938162
171,48.04491
172,52.80708
173,64.637695
174,75.617645
175,32.55134
176,77.14003
177,48.385994
178,71.22122
179,48.197304
180,84.2404
181,66.30121
182,35.22214
183,27.130154
184,35.482674
185,59.1552
186,36.437344
187,74.02326
188,35.999226
189,35.412735
190,37.050873
191,19.421247
192,37.49968
193,57.670494
194,26.613253
195,80.39453
196,27.962648
197,37.366516
198,27.004105
199,12.589241
200,29.298416
201,49.894665
202,55.915817
203,64.861786
204,75.64554
205,31.804447
206,77.012115
207,49.171482
208,72.06265
209,48.833733
210,83.72118
211,67.0777
212,36.53424
213,30.333752
214,36.2606
215,61.318127
216,37.389084
217,73.977295
218,37.20929
219,36.488914
220,37.331676
221,24.15712
222,37.258755
223,56.235687
224,31.207882
225,79.60489
226,30.070684
227,39.106262
228,30.071804
229,17.412048
230,30.286043
231,50.514866
232,54.185062
233,64.468155
234,73.760056
235,35.217987
236,74.29593
237,50.24311
238,70.21832
239,50.37439
240,81.72494
241,64.74012
242,39.499367
243,32.00013
244,37.913273
245,59.263985
246,40.44648
247,70.81793
248,40.458244
249,38.376625
250,39.421303
251,26.678682
252,38.40297
253,56.438145
254,31.53474
255,78.963684
256,32.99537
257,41.001957
258,30.837828
259,17.936565
260,29.192423
261,47.159454
262,58.249485
263,62.09156
264,76.57234
265,31.619837
266,75.736984
267,46.98755
268,70.60477
269,46.571182
270,85.623085
271,65.66372
272,36.54361
273,30.732939
274,35.64385
275,59.060562
276,37.47799
277,73.11835
278,37.731586
279,38.300026
280,37.05683
281,23.72298
282,36.800243
283,58.65107
284,26.204998
285,79.27426
286,30.12654
287,38.338814
288,26.368216
289,16.96502
290,29.167252
291,48.653904
292,54.187325
293,64.012924
294,73.24891
295,31.553917
296,73.37031
297,48.46362
298,66.33557
299,48.24782
300,82.47559
301,66.32184
302,39.665638
303,30.837486
304,36.744164
305,61.87095
306,40.110775
307,73.68108
308,40.878395
309,37.87483
310,38.16887
311,25.250328
312,37.761272
313,58.33818
314,31.839527
315,81.47934
316,33.748703
317,40.77877
318,30.505783
319,18.16408
320,28.36818
